Region_name,SIC07_description,slope_ols,se_ols,slope_median,slope_sd,se_combined
North East,"Repair of computers, personal and household goods",-0.024065451230820302,0.02287079186989885,-0.026435410866573902,0.016752102262936587,0.028349709892415413
North East,Other personal service activities,0.034245689518103195,0.006107577658414425,0.02966754995490356,0.020645154923434675,0.021529629041536737
North West,Agriculture and hunting,-0.006681839009466432,0.013146422453107712,-0.008611505442666947,0.015678350334259458,0.0204606718491683
North West,Forestry and logging,-0.045945336172853485,0.013053552054162603,-0.044609235840759445,0.012266166985263255,0.017912399999472292
North West,Fishing and aquaculture,-0.10189979949417878,0.015691489345981295,-0.1045187288846815,0.01650720150458193,0.022775217658848323
North West,"Mining and quarrying, excluding support activities",0.02751335671884427,0.012578774041517237,0.02751335671884427,0,0.012578774041517237
North West,Mining support service activities,-0.0581274133028669,0.05433742503506394,0.025772983881252265,0.09167884022628721,0.1065718795211865
North West,Manufacture of food products,0.047305406371267046,0.004760521711955933,0.047735772233434344,0.0036757275569788525,0.006014444283816882
North West,Manufacture of beverages and tobacco products,-0.02773047679126062,0.011177711852238634,-0.02773047679126062,0,0.011177711852238634
North West,Manufacture of textiles,0.04930981581103618,0.014576717084647469,0.04859259240516435,0.00693852442905317,0.016143847193851316
North West,Manufacture of wearing apparel,-0.0061977049666152575,0.014810208714919108,-0.007519996984629547,0.010184036822495277,0.017973783357473894
North West,Manufacture of leather products,-0.03322288564106867,0.029466968707474287,-0.03620915598138366,0.016069716136035507,0.03356393930247206
North West,"Manufacture of wood products, except furniture",0.006917376131259539,0.009794316514385004,0.006917807979024826,0.010109055821071994,0.014075569103148347
North West,Manufacture of paper products,0.0013986866145816305,0.006660287308027737,0.002208844787870613,0.007583594909983961,0.01009308371035384
North West,Printing and reproduction of recorded media,-0.009757132574788139,0.009028227238476296,-0.010739387824434975,0.007538005276402998,0.011761394926480649
North West,"Manufacture of coke, refined petroleum and chemicals",0.022183656237512023,0.01669555652474501,0.022672350517430995,0.005873603805732099,0.017698610943734153
